feature,importance
performance_score,0.2606499468801247
ram_gb,0.22409795126493604
gpu_score,0.07732188050277773
ssd,0.06511959003503846
storage_gb,0.06273692545599063
gpu_encoded,0.05709868499858549
Gpu_brand_encoded,0.049534671713544046
processor_score,0.04477869774206292
product_encoded,0.0405973248663969
ppi,0.02764610482447066
screen_size,0.023386228821973627
brand_encoded,0.021526823337875898
processor_encoded,0.019491273514243793
os_encoded,0.014139574026217648
Cpu_brand_encoded,0.01064545832522659
is_gaming,0.0012288636905349655
hdd,0.0
total_pixels,0.0
portability_score,0.0
is_ultraportable,0.0
weight_kg,0.0
